accuracy,recall,precision,f1,mcc,spd,aod,eod
0.667,0.66,0.663,0.661,0.323,0.151,0.112,0.099
0.659,0.655,0.655,0.655,0.31,0.081,0.035,0.048
0.66,0.636,0.68,0.625,0.313,0.111,0.086,0.044
0.672,0.655,0.677,0.653,0.332,0.083,0.047,0.027
0.67,0.665,0.667,0.666,0.332,0.119,0.079,0.063
0.681,0.673,0.678,0.674,0.351,0.149,0.112,0.079
0.681,0.672,0.678,0.673,0.35,0.138,0.095,0.086
0.673,0.659,0.673,0.659,0.332,0.067,0.03,0.009
0.675,0.668,0.671,0.669,0.339,0.196,0.162,0.125
0.657,0.652,0.653,0.652,0.305,0.064,0.022,0.025
0.67,0.663,0.667,0.664,0.33,0.134,0.092,0.086
0.66,0.654,0.656,0.654,0.31,0.07,0.028,0.028
0.654,0.647,0.65,0.647,0.297,0.086,0.05,0.038
0.667,0.663,0.663,0.663,0.326,0.151,0.113,0.092
0.656,0.654,0.654,0.654,0.308,0.177,0.136,0.138
0.665,0.654,0.662,0.655,0.316,0.129,0.097,0.063
0.679,0.663,0.683,0.662,0.345,0.098,0.057,0.045
0.681,0.673,0.678,0.674,0.351,0.145,0.104,0.084
0.672,0.662,0.67,0.662,0.331,0.182,0.156,0.095
0.64,0.639,0.638,0.638,0.276,0.157,0.127,0.103
0.67,0.661,0.667,0.662,0.329,0.119,0.081,0.061
0.673,0.657,0.678,0.655,0.334,0.092,0.058,0.027
0.67,0.661,0.668,0.661,0.328,0.166,0.125,0.117
0.648,0.641,0.643,0.642,0.285,0.072,0.033,0.037
0.647,0.621,0.67,0.606,0.286,0.073,0.046,0.026
0.659,0.654,0.655,0.654,0.309,0.134,0.094,0.089
0.674,0.67,0.671,0.67,0.34,0.199,0.159,0.143
0.662,0.646,0.664,0.644,0.31,0.076,0.048,0.004
0.665,0.658,0.661,0.658,0.319,0.098,0.054,0.06
0.645,0.637,0.641,0.637,0.277,0.041,0.004,0.003
0.641,0.637,0.637,0.637,0.275,0.062,0.02,0.038
0.648,0.645,0.644,0.645,0.289,0.186,0.155,0.128
0.653,0.651,0.65,0.65,0.301,0.112,0.077,0.058
0.665,0.662,0.662,0.662,0.323,0.126,0.086,0.073
0.68,0.669,0.678,0.67,0.347,0.143,0.104,0.081
0.674,0.667,0.67,0.667,0.337,0.19,0.156,0.121
0.649,0.644,0.645,0.644,0.289,0.165,0.126,0.132
0.663,0.657,0.66,0.657,0.316,0.174,0.139,0.115
0.663,0.66,0.66,0.66,0.32,0.109,0.075,0.042
0.663,0.657,0.659,0.658,0.316,0.111,0.066,0.076
0.673,0.665,0.669,0.666,0.335,0.14,0.105,0.07
0.665,0.659,0.661,0.659,0.319,0.135,0.104,0.062
