accuracy,recall,precision,f1,mcc,spd,aod,eod
0.844,0.732,0.822,0.761,0.547,0.157,0.082,0.104
0.846,0.73,0.833,0.761,0.554,0.156,0.1,0.151
0.843,0.727,0.825,0.756,0.543,0.166,0.12,0.182
0.844,0.734,0.821,0.762,0.548,0.172,0.124,0.186
0.855,0.758,0.832,0.784,0.585,0.167,0.077,0.095
0.845,0.772,0.799,0.784,0.57,0.195,0.094,0.102
0.848,0.773,0.806,0.787,0.577,0.181,0.072,0.071
0.847,0.764,0.807,0.782,0.57,0.163,0.052,0.043
0.849,0.776,0.806,0.789,0.581,0.193,0.089,0.093
0.839,0.717,0.824,0.747,0.53,0.155,0.111,0.169
0.851,0.781,0.807,0.793,0.587,0.196,0.087,0.089
0.847,0.77,0.803,0.784,0.572,0.184,0.076,0.073
0.851,0.774,0.811,0.789,0.584,0.179,0.063,0.052
0.841,0.715,0.833,0.747,0.535,0.15,0.114,0.183
0.847,0.737,0.827,0.765,0.556,0.168,0.113,0.168
0.849,0.769,0.808,0.785,0.576,0.182,0.076,0.075
0.848,0.771,0.805,0.786,0.576,0.182,0.067,0.055
0.846,0.731,0.83,0.761,0.553,0.157,0.093,0.132
0.843,0.723,0.831,0.754,0.543,0.155,0.111,0.173
0.859,0.77,0.832,0.793,0.599,0.172,0.079,0.098
0.845,0.725,0.834,0.756,0.548,0.16,0.123,0.195
0.852,0.774,0.813,0.79,0.586,0.185,0.078,0.078
0.859,0.768,0.834,0.793,0.599,0.169,0.074,0.09
0.846,0.779,0.798,0.787,0.576,0.204,0.096,0.099
0.848,0.741,0.826,0.769,0.561,0.163,0.091,0.123
0.843,0.723,0.832,0.754,0.543,0.154,0.105,0.16
0.845,0.735,0.824,0.763,0.552,0.163,0.097,0.134
0.846,0.774,0.8,0.785,0.573,0.198,0.094,0.098
0.855,0.777,0.819,0.794,0.594,0.176,0.067,0.067
0.848,0.772,0.804,0.786,0.576,0.186,0.077,0.074
0.844,0.729,0.825,0.759,0.546,0.159,0.097,0.137
0.847,0.772,0.803,0.785,0.574,0.179,0.062,0.05
0.847,0.768,0.804,0.783,0.571,0.183,0.073,0.067
0.849,0.773,0.806,0.787,0.578,0.196,0.097,0.109
0.844,0.722,0.835,0.754,0.545,0.15,0.102,0.157
0.849,0.777,0.805,0.789,0.581,0.203,0.116,0.145
0.851,0.774,0.809,0.789,0.582,0.188,0.075,0.068
0.85,0.781,0.805,0.792,0.586,0.202,0.098,0.107
0.843,0.725,0.826,0.755,0.542,0.163,0.117,0.177
0.846,0.771,0.8,0.784,0.571,0.19,0.075,0.063
0.846,0.771,0.802,0.784,0.572,0.193,0.09,0.095
0.846,0.765,0.805,0.781,0.568,0.191,0.105,0.13
0.851,0.777,0.809,0.791,0.585,0.188,0.087,0.099
0.847,0.774,0.802,0.786,0.576,0.183,0.064,0.049
0.849,0.746,0.826,0.773,0.566,0.165,0.084,0.107
0.847,0.729,0.837,0.76,0.555,0.147,0.086,0.129
0.841,0.772,0.791,0.781,0.563,0.197,0.088,0.083
0.846,0.755,0.809,0.775,0.561,0.176,0.085,0.096
0.841,0.762,0.795,0.775,0.555,0.181,0.074,0.069
0.848,0.776,0.804,0.788,0.579,0.182,0.071,0.067
0.844,0.77,0.798,0.782,0.567,0.188,0.083,0.084
0.847,0.77,0.804,0.784,0.573,0.175,0.062,0.054
0.847,0.772,0.804,0.785,0.575,0.19,0.087,0.091
