accuracy,recall,precision,f1,mcc,spd,aod,eod
0.717,0.616,0.681,0.621,0.29,0.002,0.037,0.042
0.72,0.608,0.698,0.609,0.293,0.041,0.028,0.009
0.673,0.568,0.605,0.564,0.169,0.058,0.052,0.031
0.697,0.646,0.652,0.649,0.298,0.151,0.129,0.124
0.743,0.696,0.707,0.701,0.403,0.159,0.123,0.141
0.723,0.676,0.684,0.679,0.36,0.23,0.199,0.212
0.717,0.661,0.674,0.666,0.335,0.077,0.057,0.033
0.703,0.638,0.656,0.643,0.294,0.062,0.019,0.103
0.697,0.643,0.651,0.647,0.294,0.1,0.091,0.034
0.733,0.673,0.695,0.68,0.368,0.098,0.072,0.064
0.71,0.656,0.667,0.66,0.322,0.168,0.141,0.148
0.707,0.638,0.66,0.644,0.297,0.175,0.155,0.147
0.707,0.643,0.661,0.649,0.303,0.237,0.242,0.135
0.73,0.663,0.691,0.671,0.353,0.099,0.083,0.045
0.72,0.666,0.679,0.671,0.344,0.152,0.114,0.16
0.73,0.681,0.691,0.685,0.372,0.06,0.03,0.033
0.75,0.683,0.719,0.693,0.4,0.148,0.113,0.133
0.693,0.628,0.644,0.633,0.271,0.019,0.001,0.005
0.693,0.628,0.644,0.633,0.271,0.177,0.148,0.186
0.743,0.694,0.707,0.699,0.401,0.068,0.043,0.02
0.703,0.661,0.662,0.662,0.324,0.026,0.006,0.016
0.713,0.661,0.671,0.665,0.332,0.124,0.103,0.085
0.72,0.674,0.68,0.677,0.354,0.127,0.084,0.142
0.697,0.638,0.65,0.642,0.288,0.117,0.1,0.078
0.753,0.688,0.723,0.698,0.409,0.123,0.102,0.069
0.737,0.66,0.703,0.67,0.36,0.193,0.167,0.171
0.74,0.681,0.703,0.688,0.384,0.138,0.111,0.102
0.733,0.665,0.696,0.674,0.36,0.163,0.156,0.082
0.723,0.663,0.682,0.67,0.345,0.133,0.116,0.084
0.697,0.654,0.655,0.654,0.309,0.165,0.109,0.232
0.71,0.648,0.665,0.654,0.313,0.193,0.182,0.135
0.733,0.665,0.696,0.674,0.36,0.203,0.188,0.146
0.743,0.675,0.71,0.685,0.384,0.128,0.101,0.095
0.743,0.675,0.71,0.685,0.384,0.148,0.117,0.126
0.737,0.631,0.726,0.637,0.344,0.087,0.051,0.111
0.73,0.663,0.691,0.671,0.353,0.139,0.104,0.14
0.75,0.686,0.718,0.695,0.402,0.139,0.125,0.063
0.73,0.679,0.691,0.683,0.369,0.108,0.071,0.103
0.737,0.67,0.7,0.679,0.369,0.199,0.181,0.146
0.727,0.647,0.689,0.656,0.334,0.137,0.108,0.133
0.733,0.671,0.695,0.678,0.365,0.126,0.098,0.102
0.733,0.668,0.695,0.676,0.362,0.115,0.081,0.108
0.753,0.683,0.725,0.694,0.406,0.18,0.175,0.081
0.753,0.659,0.744,0.671,0.395,0.097,0.072,0.073
0.74,0.631,0.739,0.637,0.354,0.12,0.102,0.091
0.75,0.686,0.718,0.695,0.402,0.179,0.168,0.095
0.747,0.688,0.712,0.696,0.4,0.138,0.107,0.108
0.737,0.644,0.712,0.653,0.35,0.025,0.025,0.08
0.727,0.668,0.686,0.675,0.354,0.209,0.183,0.179
