accuracy,recall,precision,f1,mcc,spd,aod,eod
0.858,0.661,0.674,0.667,0.335,0.207,0.145,0.154
0.871,0.701,0.708,0.704,0.409,0.194,0.088,0.031
0.858,0.665,0.675,0.67,0.341,0.202,0.113,0.059
0.88,0.727,0.729,0.728,0.456,0.203,0.076,0.005
0.895,0.719,0.769,0.74,0.486,0.186,0.084,0.055
0.87,0.751,0.715,0.731,0.465,0.206,0.071,0.007
0.879,0.656,0.724,0.681,0.374,0.193,0.128,0.125
0.882,0.733,0.734,0.734,0.468,0.233,0.117,0.066
0.861,0.683,0.687,0.685,0.37,0.152,0.057,0.008
0.879,0.73,0.727,0.728,0.456,0.191,0.075,0.022
0.877,0.724,0.722,0.723,0.446,0.211,0.093,0.028
0.858,0.671,0.677,0.674,0.348,0.218,0.139,0.115
0.847,0.643,0.651,0.647,0.294,0.193,0.124,0.096
0.866,0.698,0.698,0.698,0.396,0.201,0.104,0.066
0.853,0.659,0.666,0.662,0.324,0.191,0.113,0.077
0.859,0.69,0.685,0.687,0.374,0.171,0.069,0.009
0.865,0.696,0.695,0.696,0.391,0.218,0.121,0.078
0.861,0.668,0.681,0.674,0.349,0.241,0.16,0.128
0.856,0.697,0.682,0.689,0.379,0.157,0.053,0.003
0.875,0.723,0.72,0.721,0.443,0.224,0.113,0.063
0.885,0.684,0.741,0.707,0.421,0.212,0.116,0.064
0.872,0.711,0.711,0.711,0.422,0.196,0.094,0.056
0.856,0.663,0.672,0.667,0.334,0.245,0.18,0.182
0.864,0.698,0.694,0.696,0.392,0.204,0.094,0.021
0.869,0.716,0.707,0.711,0.423,0.211,0.096,0.03
0.885,0.729,0.74,0.734,0.469,0.228,0.113,0.061
0.882,0.735,0.734,0.735,0.469,0.199,0.081,0.027
0.884,0.731,0.739,0.735,0.47,0.219,0.104,0.054
0.851,0.66,0.663,0.661,0.323,0.157,0.078,0.044
0.859,0.676,0.681,0.679,0.357,0.198,0.125,0.124
0.887,0.604,0.781,0.637,0.342,0.113,0.08,0.104
0.88,0.7,0.728,0.713,0.428,0.233,0.14,0.111
0.895,0.708,0.77,0.733,0.473,0.182,0.079,0.037
0.87,0.704,0.706,0.705,0.411,0.186,0.091,0.063
0.892,0.665,0.77,0.699,0.423,0.185,0.124,0.14
0.877,0.673,0.717,0.691,0.387,0.231,0.149,0.118
0.862,0.637,0.676,0.653,0.311,0.222,0.169,0.171
0.875,0.686,0.715,0.699,0.4,0.212,0.12,0.079
0.861,0.69,0.688,0.689,0.378,0.207,0.115,0.082
0.859,0.707,0.689,0.697,0.395,0.159,0.05,0.01
0.894,0.663,0.782,0.7,0.428,0.173,0.109,0.115
0.878,0.722,0.726,0.724,0.448,0.193,0.076,0.013
0.882,0.728,0.733,0.731,0.461,0.232,0.116,0.059
0.852,0.66,0.664,0.662,0.324,0.243,0.182,0.19
0.854,0.663,0.668,0.665,0.331,0.21,0.14,0.129
0.873,0.681,0.708,0.693,0.388,0.17,0.094,0.09
0.868,0.642,0.691,0.661,0.33,0.192,0.143,0.166
0.876,0.717,0.721,0.719,0.438,0.229,0.121,0.073
0.876,0.682,0.718,0.698,0.399,0.216,0.137,0.126
0.871,0.69,0.706,0.698,0.396,0.228,0.164,0.195
0.856,0.661,0.672,0.666,0.332,0.197,0.12,0.09
0.871,0.654,0.7,0.672,0.35,0.193,0.115,0.077
0.876,0.735,0.722,0.728,0.457,0.199,0.082,0.032
0.872,0.692,0.708,0.699,0.4,0.22,0.136,0.122
0.859,0.671,0.68,0.675,0.35,0.199,0.13,0.131
0.879,0.631,0.726,0.66,0.344,0.186,0.15,0.193
0.881,0.628,0.733,0.658,0.345,0.175,0.127,0.135
0.886,0.615,0.762,0.648,0.347,0.111,0.07,0.086
0.882,0.736,0.735,0.736,0.471,0.192,0.068,0.002
0.868,0.654,0.693,0.67,0.345,0.184,0.116,0.105
0.881,0.735,0.731,0.733,0.467,0.213,0.098,0.051
0.879,0.738,0.729,0.733,0.466,0.183,0.058,0.007
0.875,0.651,0.71,0.673,0.357,0.227,0.156,0.131
